key,text,module
Product,Produk,
Create,Membuat,
Upload,Mengunggah,
Export,Ekspor,
Fetch from Marketplace,Ambil dari Marketplace,
Price,Harga,
Special Price,Harga spesial,
Approval Status,Status Persetujuan,
Approved,Disetujui,
Add,Tambah,
Not Approved,Tidak disetujui,
Product Detail,Rincian produk,
This field is required!,Bagian ini diperlukan!,
The product has been saved,Produk telah disimpan,
Base,Basis,
Small,Kecil,
Swatch,Carikan,
Thumbnail,gambar mini,
Save,Simpan,
verifikasi otp, Verifikasi OTP,
change number, Ganti nomor telepon ?,
no otp, Tidak menerima OTP ?,
resend otp, Kirim ulang,
verified otp, OTP Terverfikasi,
phone registered, Nomor telephone sudah terdaftar,
incorrect otp, Kode OTP salah,
check phone otp, Permintaan kode OTP berhasil. Silahkan check kotak pesan anda,
failed otp, Terjadi kesalahan. Silahkan coba lagi,
get otp, Dapatkan OTP,
Please make sure all required field is filled !,Pastikan semua field wajib diisi!,
Attribute Set,Kumpulan Atribut,
Stock List,Daftar Stok,
Location,Lokasi,
Qty Total,Jumlah Total,
Qty Reserved,Jumlah Dipesan,
Qty Saleable,Kuantitas Terjual,
Vendor Price List,Daftar Harga Vendor,
Vendor,Vendor,
Product Location Mapping,Pemetaan Lokasi Produk,
Product Image Configuration,Konfigurasi Gambar Produk,
Product Detail #,Rincian produk #,
Price List,Daftar Harga,
Company,Perusahaan,
Channel,Channel,
Product Upload,Unggah Produk,
Product Upload Template,Template Unggah Produk,
Upload Product Tutorial,Unggah Tutorial Produk,
Please select the file :,Silakan pilih filenya :,
Product Export,Ekspor Produk,
The product has been downloaded,Produk telah diunduh,
Select product attributes :,Pilih atribut produk:,
System Attribute,Atribut Sistem,
Export Attribute,Atribut Ekspor,
Default Value,Nilai Default,
Save and Download CSV,Simpan dan Unduh CSV,
Product Bundle,Paket Produk,
Bundle,Bundel,
Import Product Bundle,Paket Impor Produk,
Bundle SKU,Paket SKU,
Bundle Items,Bundel Item,
Updated,Diperbarui,
Action,Aksi,
Updated From,Diperbarui Dari,
